ID,Providers_08_09,Providers_09_10,Providers_10_11,Providers_11_12,Providers_12_13,Providers_13_14,Providers_14_15,Providers_15_16,Providers_16_17,Providers_17_18,Providers_18_19,Providers_19_20,Providers_20_21,Providers_21_22
England,,,,,,,,,,,,,,
ENGLAND,,,,,,,,,,,,,,
G3O5P,,,,,,,,,,,,,,Spamedica Newark
G3Z1Q,,,,,,,,,,,,,,Sulis Hospital Bath (Foxcote Avenue)
I9A4A,,,,,,,,,,,,,,Spamedica Brighton
L0D9W,,,,,,,,,,,,,Newmedica - Gloucester (Brighouse Court),Newmedica - Gloucester (Brighouse Court)
L6O7H,,,,,,,,,,,,,,Spamedica Poole
L9D3Z,,,,,,,,,,,,,,Spamedica Leicester
M0N7E,,,,,,,,,,,,,,Spamedica Sittingbourne
M3R0W,,,,,,,,,,,,,,Spamedica Norwich
M4C5R,,,,,,,,,,,,,,Newmedica - Northampton
M5E1S,,,,,,,,,,,,,,Spamedica Exeter
M7C9Q,,,,,,,,,,,,,,Spamedica Epsom
NAM01,,,,,,,,,,Probus Surgical Centre (NAM01),Probus Surgical Centre (NAM01),Probus Surgical Centre - (NAM01),Probus Surgical Centre,Probus Surgical Centre
NAM02,,,,,,,,,,Meneage Street Surgery (NAM02),,,,
NAM03,,,,,,,,,,Stratton Medical Centre (NAM03),,,,
NAM04,,,,,,,,,,Liskeard Community Hospital (NAM04),,,,
NAM06,,,,,,,,,,Morrab Surgery (NAM06),,,,
NAM07,,,,,,,,,,Oak Tree Surgery (NAM07),,,,
NAM09,,,,,,,,,,Stratton Community Hospital (NAM09),,,,
NAX03,,,,,,,,,,,ECCH Beccles Hospital (NAX03),Ecch Beccles Hospital - (NAX03),Ecch Beccles Hospital,ECCH Beccles Hospital
NCR01,,,,,,,,,,,,Isight (Southport) - (NCR01),Isight (Southport),Isight (Southport)
NDA01,,,,,,Virgin Care Services Ltd (Brook Green) (NDA01),Virgin Care Services Ltd (Brook Green) (NDA01),Virgin Care Services Ltd (Brook Green) (NDA01),,,Virgin Care Services Ltd (Brook Green) (NDA01),Virgin Care Services Ltd (Brook Green) - (NDA01),,
NDA03,,,,,Haslemere and District Hospital OPD,,,,,Haslemere and District Hospital OPD (NDA03),,,,
NDA07,,,,,Walton Community Hospital,,,,,,,,,
NDA18,,,,,Woking Community Hospital,,,,,,,,,
NDA25,,,,,Farnham Hospital & Centre For Health,,,,,Farnham Hospital & Centre For Health (NDA25),,,,
NDA26,,,,,Milford Specialist Rehabilitation Hospital,,,,,Milford Specialist Rehabilitation Hospital (NDA26),,,,
NDAH9,,,,,,,,,,Gravesham Community Hospital (NDAH9),Gravesham Community Hospital (NDAH9),Gravesham Community Hospital - (NDAH9),Gravesham Community Hospital,Gravesham Community Hospital
NDAJ0,,,,,,,,,,Livingstone Community Hospital (NDAJ0),Livingstone Community Hospital (NDAJ0),Livingstone Community Hospital - (NDAJ0),Livingstone Community Hospital,Livingstone Community Hospital
NDAJ1,,,,,,,,,,,Sheppey Community Hospital (NDAJ1),Sheppey Community Hospital - (NDAJ1),Sheppey Community Hospital,Sheppey Community Hospital
NDAJ2,,,,,,,,,,,Sittingbourne Memorial Hospital (NDAJ2),Sittingbourne Memorial Hospital - (NDAJ2),Sittingbourne Memorial Hospital,Sittingbourne Memorial Hospital
NDJ01,,,,,,Forum House (NDJ01),Forum House (NDJ01),Forum House (NDJ01),,,,,,
NED01,,,,,,Edics (Epsom) (NED01),,,,,,,,
NED30,,,,,Ashtead Hospital (Edics),Ashtead Hospital (NED30),,,,,,,,
NEQ01,,,,,,Wrs Pms Plus Limited (NEQ01),Wrs Pms Plus Limited (NEQ01),Wrs Pms Plus Limited (NEQ01),,,Phoenix Health Solutions Limited (NEQ01),Phoenix Health Solutions Limited - (NEQ01),Phoenix Health Solutions Limited,Phoenix Health Solutions Limited
NEY01,,,,,,Pioneer Healthcare Ltd - Claremont Hospital (NEY01),Pioneer Healthcare Ltd - Claremont Hospital (NEY01),Pioneer Healthcare Ltd - Claremont Hospital (NEY01),Pioneer Healthcare Ltd - Claremont Hospital (NEY01),Pioneer Healthcare Ltd - Claremont Hospital (NEY01),Pioneer Healthcare Ltd - Claremont Hospital (NEY01),Pioneer Healthcare Ltd - Claremont Hospital - (NEY01),Pioneer Healthcare Ltd - Claremont Hospital,Pioneer Healthcare Ltd - Claremont Hospital
NEY14,,,,,,,,,,,Oaklands Hospital (NEY14),Oaklands Hospital - (NEY14),Oaklands Hospital,Oaklands Hospital
NFH01,,,,,,Somerset Surgical Services (NFH01),Somerset Surgical Services (NFH01),Somerset Surgical Services (NFH01),Somerset Surgical Services (NFH01),Somerset Surgical Services (NFH01),Somerset Surgical Services (NFH01),Somerset Surgical Services - (NFH01),Somerset Surgical Services,Somerset Surgical Services
NHM01,,,,,Suffolk Community Healthcare HQ,Suffolk Community Healthcare - Ipswich (NHM01),Suffolk Community Healthcare - Ipswich (NHM01),Suffolk Community Healthcare - Ipswich (NHM01),,,,,,
NHM02,,,,,,,,,,Aldeburgh Community Hospital (NHM02),,,,
NHM03,,,,,,,,,,Bluebird Lodge Community Hospital (NHM03),,,,
NHM04,,,,,,,,,,Newmarket Community Hospital (NHM04),,,,
NHM05,,,,,,,,,,Felixstowe Community Hospital (NHM05),,,,
NHM15,,,,,,,,,,Hazell Court Residential Home (NHM15),,,,
NHM26,,,,,,,,,,Glastonbury Court (NHM26),,,,
NHW01,,,,,,,,,,Standard Health Ltd HQ (NHW01),,,Standard Health Ltd HQ,Standard Health Ltd Hq
NHW02,,,,,,,,,,,Nuffield Hospital (Standard Health) (NHW02),Nuffield Hospital (Standard Health) - (NHW02),,
NHW03,,,,,,,Wimbourne Community Hospital (Standard Health) (NHW03),Wimbourne Community Hospital (Standard Health) (NHW03),,,Wimbourne Community Hospital (Standard Health) (NHW03),Wimbourne Community Hospital (Standard Health) - (NHW03),,
NHW04,,,,,,,,,,,,,,
NLL01,,,,,,Peninsula Community Health C.I.C (NLL01),Peninsula Community Health C.I.C (NLL01),Peninsula Community Health C.I.C (NLL01),,,,,,
NLL04,,,,LAUNCESTON GENERAL HOSPITAL,Launceston General Hospital,,,,,,,,,
NLL07,,,,LISKEARD COMMUNITY HOSPITAL,Liskeard Community Hospital,,,,,,,,,
NLL08,,,,ST BARNABAS HOSPITAL,St Barnabas Hospital,,,,,,,,,
NLL09,,,,,Stratton Hospital,,,,,,,,,
NLL11,,,,BODMIN COMMUNITY HOSPITAL,Bodmin Community Hospital,,,,,,,,,
NLL13,,,,ST AUSTELL COMMUNITY HOSPITAL,St Austell Community Hospital,,,,,,,,,
NLL14,,,,FOWEY HOSPITAL,Fowey Hospital,,,,,,,,,
NLL15,,,,NEWQUAY HOSPITAL,Newquay Hospital,,,,,,,,,
NLL16,,,,FALMOUTH HOSPITAL,Falmouth Hospital,,,,,,,,,
NLL17,,,,CAMBOURNE REDRUTH COMMUNITY HOSPITAL,Cambourne Redruth Community Hospital,,,,,,,,,
NLL18,,,,HELSTON COMMUNITY HOSPITAL,Helston Community Hospital,,,,,,,,,
NLL19,,,,POLTAIR HOSPITAL,Poltair Hospital,,,,,,,,,
NLL20,,,,EDWARD HAIN COMMUNITY HOSPITAL,Edward Hain Community Hospital,,,,,,,,,
NLL21,,,,ST MARY's HOSPITAL,St Mary's Hospital,,,,,,,,,
NLT01,,,,NORTH SOMERSET COMMUNITY PARTNERSHIP CIC HQ,North Somerset Community Partnership CIC HQ,North Somerset Community Partnership Cic Hq (NLT01),North Somerset Community Partnership Cic Hq (NLT01),North Somerset Community Partnership Cic Hq (NLT01),,,,,,
NLX01,,,,COMMUNITY HEALTH AND SOCIAL CARE SITE,St Martins Hospital,St Martins Hospital (NLX01),St Martins Hospital (NLX01),St Martins Hospital (NLX01),St Martins Hospital (NLX01),,,,,
NLX02,,,,,,Paulton Memorial Hospital (NLX02),Paulton Memorial Hospital (NLX02),Paulton Memorial Hospital (NLX02),Paulton Memorial Hospital (NLX02),,,,,
NLX22,,,,,,,Thornbury Hospital (NLX22),Thornbury Hospital (NLX22),Thornbury Hospital (NLX22),Thornbury Hospital (NLX22),Thornbury Hospital (NLX22),Thornbury Hospital - (NLX22),,
NLY01,,,,CARE AND SUPPORT PARTNERSHIP SITE,,,,,,,,,,
NMG77,,,,,,,,,,,,North Kirklees Msk Service - (NMG77),,
NMM01,,,,,,,,,,,,,Hospital Of St John And St Elizabeth (Grove End Road),Hospital of St John and St Elizabeth (Grove End Road)
NN401,,,TYNESIDE SURGICAL SERVICES AT THE NORTH EAST NHS SURGERY CENTRE,TYNESIDE SURGICAL SERVICES AT THE NORTH EAST NHS SURGERY CENTRE,Tyneside Surgical Services At The North East NHS Surgery Centre,Tyneside Surgical Services At The North East NHS Surgery Centre (NN401),Tyneside Surgical Services At The North East NHS Surgery Centre (NN401),Tyneside Surgical Services At The North East NHS Surgery Centre (NN401),Tyneside Surgical Services At The North East NHS Surgery Centre (NN401),Tyneside Surgical Services (NN401),Tyneside Surgical Services (NN401),Tyneside Surgical Services - (NN401),Tyneside Surgical Services,Tyneside Surgical Services
NN501,,,,,,,Trafford General Hospital (NN501),Trafford General Hospital (NN501),Trafford General Hospital (NN501),Trafford General Hospital (NN501),Trafford General Hospital (NN501),Trafford General Hospital - (NN501),Trafford General Hospital,Manchester Surgical Services - The Pines Hospital
NN801,,,,THE SPENCER WING (RAMSGATE ROAD),The Spencer Wing (Ramsgate Road),The Spencer Wing (Ramsgate Road) (NN801),The Spencer Wing (Ramsgate Road) (NN801),The Spencer Wing (Ramsgate Road) (NN801),The Spencer Wing (Ramsgate Road) (NN801),The Spencer Wing (Ramsgate Road) (NN801),The Spencer Wing (Ramsgate Road) (NN801),Spencer Private Hospitals - Margate - (NN801),Spencer Private Hospitals - Margate,Spencer Private Hospitals - Margate
NN802,,,,,,,,,,The Spencer Wing (William Harvey Hospital) (NN802),The Spencer Wing (William Harvey Hospital) (NN802),Spencer Private Hospitals - Ashford - (NN802),Spencer Private Hospitals - Ashford,Spencer Private Hospitals - Ashford
NN804,,,,,,,,,,,,,,Spencer Private Hospitals - Canterbury
NNE02,,,,,DORKING GENERAL HOSPITAL,Dorking General Hospital (NNE02),Dorking General Hospital (NNE02),Dorking General Hospital (NNE02),Dorking General Hospital (NNE02),Dorking General Hospital (NNE02),Dorking General Hospital (NNE02),Dorking General Hospital - (NNE02),Dorking General Hospital,
NNH02,,,,,,Optegra Yorkshire Eye Hospital (NNH02),Optegra Yorkshire Eye Hospital (NNH02),Optegra Yorkshire Eye Hospital (NNH02),,,Optegra Yorkshire Eye Hospital (NNH02),Optegra Yorkshire Eye Hospital - (NNH02),Optegra Yorkshire Eye Hospital,Optegra Yorkshire Eye Hospital
NNH03,,,,,,,,,,,Optegra (Surrey Eye Hospital) (NNH03),Optegra (Surrey Eye Hospital) - (NNH03),Optegra (Surrey Eye Hospital),Optegra (Surrey Eye Hospital)
