ID,Name,National Grouping,Higher Health Authority,Opened,Closed,Address
5CN,Primary Care Trust - HEREFORDSHIRE PCT (5CN),Y51 THE NORTH MIDLANDS AND EAST PROGRAMME FOR IT (NMEPFIT),Q34 WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,1/10/2000,31/03/2013,BELMONT ABBEY RUCKHALL LANE BELMONT HEREFORD HEREFORDSHIRE HR2 9RP
5CQ,Primary Care Trust - MILTON KEYNES PCT (5CQ),Y52 THE SOUTHERN PROGRAMME FOR IT (SPFIT),Q38 SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,1/10/2000,31/03/2013,HOSPITAL CAMPUS STANDING WAY EAGLESTONE MILTON KEYNES BUCKINGHAMSHIRE MK6 5NG
5EF,Primary Care Trust - NORTH LINCOLNSHIRE PCT (5EF),Y51 THE NORTH MIDLANDS AND EAST PROGRAMME FOR IT (NMEPFIT),Q32 YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,1/4/2001,31/03/2013,HEALTH PLACE WRAWBY ROAD BRIGG SOUTH HUMBERSIDE DN20 8GS
5F1,Primary Care Trust - PLYMOUTH TEACHING PCT (5F1),Y52 THE SOUTHERN PROGRAMME FOR IT (SPFIT),Q39 SOUTH WEST STRATEGIC HEALTH AUTHORITY,1/4/2001,31/03/2013,BUILDING 1 BREST ROAD DERRIFORD BUSINESS PARK PLYMOUTH DEVON PL6 5QZ
5FE,Primary Care Trust - PORTSMOUTH CITY TEACHING PCT (5FE),Y52 THE SOUTHERN PROGRAMME FOR IT (SPFIT),Q38 SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,1/4/2001,31/03/2013,TRUST CENTRAL OFFICES ST. JAMES HOSPITAL LOCKSWAY ROAD SOUTHSEA HAMPSHIRE PO4 8LD
5FL,Primary Care Trust - BATH AND NORTH EAST SOMERSET PCT (5FL),Y52 THE SOUTHERN PROGRAMME FOR IT (SPFIT),Q39 SOUTH WEST STRATEGIC HEALTH AUTHORITY,1/4/2001,31/03/2013,"TRUST HQ ASH HOUSE, ST MARTINS HOSPITAL MIDFORD ROAD BATH AVON BA2 5RP"
5H8,Primary Care Trust - ROTHERHAM PCT (5H8),Y51 THE NORTH MIDLANDS AND EAST PROGRAMME FOR IT (NMEPFIT),Q32 YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,1/4/2002,31/03/2013,OAK HOUSE MOORHEAD WAY BRAMLEY ROTHERHAM SOUTH YORKSHIRE S66 1YY
5J2,Primary Care Trust - WARRINGTON PCT (5J2),Y51 THE NORTH MIDLANDS AND EAST PROGRAMME FOR IT (NMEPFIT),Q31 NORTH WEST STRATEGIC HEALTH AUTHORITY,1/4/2002,31/03/2013,930 - 932 BIRCHWOOD BOULEVARD BIRCHWOOD WARRINGTON CHESHIRE WA3 7QN
5J9,Primary Care Trust - DARLINGTON PCT (5J9),Y51 THE NORTH MIDLANDS AND EAST PROGRAMME FOR IT (NMEPFIT),Q30 NORTH EAST STRATEGIC HEALTH AUTHORITY,1/4/2002,31/03/2013,DR PIPER HOUSE KING STREET DARLINGTON COUNTY DURHAM DL3 6JL
5JE,Primary Care Trust - BARNSLEY PCT (5JE),Y51 THE NORTH MIDLANDS AND EAST PROGRAMME FOR IT (NMEPFIT),Q32 YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,1/4/2002,31/03/2013,KENDRAY HOSPITAL DONCASTER ROAD BARNSLEY SOUTH YORKSHIRE S70 3RD
5K3,Primary Care Trust - SWINDON PCT (5K3),Y52 THE SOUTHERN PROGRAMME FOR IT (SPFIT),Q39 SOUTH WEST STRATEGIC HEALTH AUTHORITY,1/4/2002,31/03/2013,NORTH SWINDON DISTRICT CENTRE THAMESDOWN DRIVE SWINDON WILTSHIRE SN25 4AN
5K5,Primary Care Trust - BRENT TEACHING PCT (5K5),Y53 THE LONDON PROGRAMME FOR IT (LPFIT),Q36 LONDON STRATEGIC HEALTH AUTHORITY,1/4/2002,31/03/2013,WEMBLEY CENTRE FOR HEALTH & CARE 116 CHAPLIN ROAD WEMBLEY MIDDLESEX HA0 4UZ
5K7,Primary Care Trust - CAMDEN PCT (5K7),Y53 THE LONDON PROGRAMME FOR IT (LPFIT),Q36 LONDON STRATEGIC HEALTH AUTHORITY,1/4/2002,31/03/2013,"4TH FLOOR, EAST WING ST. PANCRAS HOSPITAL 4 ST. PANCRAS WAY LONDON GREATER LONDON NW1 0PE"
5KG,Primary Care Trust - SOUTH TYNESIDE PCT (5KG),Y51 THE NORTH MIDLANDS AND EAST PROGRAMME FOR IT (NMEPFIT),Q30 NORTH EAST STRATEGIC HEALTH AUTHORITY,1/4/2002,31/03/2013,CLARENDON WINDMILL WAY HEBBURN TYNE AND WEAR NE31 1AT
5KL,Primary Care Trust - SUNDERLAND TEACHING PCT (5KL),Y51 THE NORTH MIDLANDS AND EAST PROGRAMME FOR IT (NMEPFIT),Q30 NORTH EAST STRATEGIC HEALTH AUTHORITY,1/4/2002,31/03/2013,PEMBERTON HOUSE COLIMA AVENUE SUNDERLAND ENTERPRISE PARK SUNDERLAND TYNE AND WEAR SR5 3XB
5L1,Primary Care Trust - SOUTHAMPTON CITY PCT (5L1),Y52 THE SOUTHERN PROGRAMME FOR IT (SPFIT),Q38 SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,1/4/2002,31/03/2013,TRUST HQ OAKLEY ROAD SOUTHAMPTON HAMPSHIRE SO16 4GX
5L3,Primary Care Trust - MEDWAY PCT (5L3),Y52 THE SOUTHERN PROGRAMME FOR IT (SPFIT),Q37 SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,1/4/2002,31/03/2013,FIFTY PEMBROKE COURT CHATHAM MARITIME CHATHAM KENT ME4 4EL
5LA,Primary Care Trust - KENSINGTON AND CHELSEA PCT (5LA),Y53 THE LONDON PROGRAMME FOR IT (LPFIT),Q36 LONDON STRATEGIC HEALTH AUTHORITY,1/4/2002,31/03/2013,COURTFIELD HOUSE ST. CHARLES HOSPITAL EXMOOR STREET LONDON GREATER LONDON W10 6DZ
5LG,Primary Care Trust - WANDSWORTH PCT (5LG),Y53 THE LONDON PROGRAMME FOR IT (LPFIT),Q36 LONDON STRATEGIC HEALTH AUTHORITY,1/4/2002,31/03/2013,3RD FLOOR WIMBLEDON BRIDGE HOUSE 1 HARTFIELD ROAD LONDON GREATER LONDON SW19 3RU
5M1,Primary Care Trust - SOUTH BIRMINGHAM PCT (5M1),Y51 THE NORTH MIDLANDS AND EAST PROGRAMME FOR IT (NMEPFIT),Q34 WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,1/4/2002,31/03/2013,TRUST HQ MOSELEY HALL HOSPITAL ALCESTER ROAD BIRMINGHAM WEST MIDLANDS B13 8JL
5M2,Primary Care Trust - SHROPSHIRE COUNTY PCT (5M2),Y51 THE NORTH MIDLANDS AND EAST PROGRAMME FOR IT (NMEPFIT),Q34 WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,1/4/2002,31/03/2013,WILLIAM FARR HOUSE MYTTON OAK ROAD SHREWSBURY SHROPSHIRE SY3 8XL
5M3,Primary Care Trust - WALSALL TEACHING PCT (5M3),Y51 THE NORTH MIDLANDS AND EAST PROGRAMME FOR IT (NMEPFIT),Q34 WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,1/4/2002,31/03/2013,BLOXWICH LANE WALSALL WEST MIDLANDS WS2 7JL
5M6,Primary Care Trust - RICHMOND AND TWICKENHAM PCT (5M6),Y53 THE LONDON PROGRAMME FOR IT (LPFIT),Q36 LONDON STRATEGIC HEALTH AUTHORITY,1/4/2002,31/03/2013,"1ST FLOOR, CIVIC CENTRE 44 YORK STREET TWICKENHAM MIDDLESEX TW1 3BZ"
5M7,Primary Care Trust - SUTTON AND MERTON PCT (5M7),Y53 THE LONDON PROGRAMME FOR IT (LPFIT),Q36 LONDON STRATEGIC HEALTH AUTHORITY,1/4/2002,31/03/2013,120 THE BROADWAY LONDON GREATER LONDON SW19 1RH
5M8,Primary Care Trust - NORTH SOMERSET PCT (5M8),Y52 THE SOUTHERN PROGRAMME FOR IT (SPFIT),Q39 SOUTH WEST STRATEGIC HEALTH AUTHORITY,1/4/2002,31/03/2013,WAVERLEY HOUSE OLD CHURCH ROAD CLEVEDON AVON BS21 6NN
5MD,Primary Care Trust - COVENTRY TEACHING PCT (5MD),Y51 THE NORTH MIDLANDS AND EAST PROGRAMME FOR IT (NMEPFIT),Q34 WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,1/4/2002,31/03/2013,CHRISTCHURCH HOUSE GREYFRIARS LANE COVENTRY WEST MIDLANDS CV1 2GQ
5MK,Primary Care Trust - TELFORD AND WREKIN PCT (5MK),Y51 THE NORTH MIDLANDS AND EAST PROGRAMME FOR IT (NMEPFIT),Q34 WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,1/4/2002,31/03/2013,PRIMARY CARE CENTRE HALESFIELD 6 TELFORD SHROPSHIRE TF7 4LN
5MV,Primary Care Trust - WOLVERHAMPTON CITY PCT (5MV),Y51 THE NORTH MIDLANDS AND EAST PROGRAMME FOR IT (NMEPFIT),Q34 WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,1/4/2002,31/03/2013,CONISTON HOUSE CHAPEL ASH WOLVERHAMPTON WEST MIDLANDS WV3 0XE
5MX,Primary Care Trust - HEART OF BIRMINGHAM TEACHING PCT (5MX),Y51 THE NORTH MIDLANDS AND EAST PROGRAMME FOR IT (NMEPFIT),Q34 WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,1/4/2002,31/03/2013,BARTHOLOMEW HOUSE 142 HAGLEY ROAD BIRMINGHAM WEST MIDLANDS B16 9PA
5N2,Primary Care Trust - KIRKLEES PCT (5N2),Y51 THE NORTH MIDLANDS AND EAST PROGRAMME FOR IT (NMEPFIT),Q32 YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,1/10/2006,31/03/2013,BROAD LEA HOUSE BRADLEY BUSINESS PARK BRADLEY HUDDERSFIELD WEST YORKSHIRE HD2 1GZ
5N5,Primary Care Trust - DONCASTER PCT (5N5),Y51 THE NORTH MIDLANDS AND EAST PROGRAMME FOR IT (NMEPFIT),Q32 YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,1/10/2006,31/03/2013,WHITE ROSE HOUSE TEN POUND WALK DONCASTER SOUTH YORKSHIRE DN4 5DJ
5N6,Primary Care Trust - DERBYSHIRE COUNTY PCT (5N6),Y51 THE NORTH MIDLANDS AND EAST PROGRAMME FOR IT (NMEPFIT),Q33 EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,1/10/2006,31/03/2013,SCARSDALE HOSPITAL NEWBOLD ROAD CHESTERFIELD DERBYSHIRE S41 7PF
5N8,Primary Care Trust - NOTTINGHAMSHIRE COUNTY TEACHING PCT (5N8),Y51 THE NORTH MIDLANDS AND EAST PROGRAMME FOR IT (NMEPFIT),Q33 EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,1/10/2006,31/03/2013,BIRCH HOUSE RANSOM WOOD BUSINESS PARK SOUTHWELL ROAD WEST MANSFIELD NOTTINGHAMSHIRE NG21 0HJ
5N9,Primary Care Trust - LINCOLNSHIRE TEACHING PCT (5N9),Y51 THE NORTH MIDLANDS AND EAST PROGRAMME FOR IT (NMEPFIT),Q33 EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,1/10/2006,31/03/2013,CROSS O'CLIFF BRACEBRIDGE HEATH LINCOLN LINCOLNSHIRE LN4 2HN
5NE,Primary Care Trust - CUMBRIA TEACHING PCT (5NE),Y51 THE NORTH MIDLANDS AND EAST PROGRAMME FOR IT (NMEPFIT),Q31 NORTH WEST STRATEGIC HEALTH AUTHORITY,1/10/2006,31/03/2013,"TRUST HQ, LONSDALE UNIT PENRITH HOSPITAL BRIDGE LANE PENRITH CUMBRIA CA11 8HX"
5NG,Primary Care Trust - CENTRAL LANCASHIRE PCT (5NG),Y51 THE NORTH MIDLANDS AND EAST PROGRAMME FOR IT (NMEPFIT),Q31 NORTH WEST STRATEGIC HEALTH AUTHORITY,1/10/2006,31/03/2013,JUBILEE HOUSE LANCASHIRE ENTERPRISE BUSINESS LEYLAND LANCASHIRE PR26 6TR
5NH,Primary Care Trust - EAST LANCASHIRE TEACHING PCT (5NH),Y51 THE NORTH MIDLANDS AND EAST PROGRAMME FOR IT (NMEPFIT),Q31 NORTH WEST STRATEGIC HEALTH AUTHORITY,1/10/2006,31/03/2013,NHS EAST LANCASHIRE WALSHAW HOUSE REGENT STREET NELSON LANCASHIRE BB9 8AS
5NL,Primary Care Trust - LIVERPOOL PCT (5NL),Y51 THE NORTH MIDLANDS AND EAST PROGRAMME FOR IT (NMEPFIT),Q31 NORTH WEST STRATEGIC HEALTH AUTHORITY,1/10/2006,31/03/2013,1 ARTHOUSE SQUARE 67-69 SEEL STREET LIVERPOOL MERSEYSIDE L1 4AZ
5NN,Primary Care Trust - WESTERN CHESHIRE PCT (5NN),Y51 THE NORTH MIDLANDS AND EAST PROGRAMME FOR IT (NMEPFIT),Q31 NORTH WEST STRATEGIC HEALTH AUTHORITY,1/10/2006,31/03/2013,1829 BUILDING THE COUNTESS OF CHESTER HEALTH PARK LIVERPOOL ROAD CHESTER CHESHIRE CH2 1HJ
5NV,Primary Care Trust - NORTH YORKSHIRE AND YORK PCT (5NV),Y51 THE NORTH MIDLANDS AND EAST PROGRAMME FOR IT (NMEPFIT),Q32 YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,1/10/2006,31/03/2013,THE HAMLET HORNBEAM PARK HARROGATE NORTH YORKSHIRE HG2 8RE
5NW,Primary Care Trust - EAST RIDING OF YORKSHIRE PCT (5NW),Y51 THE NORTH MIDLANDS AND EAST PROGRAMME FOR IT (NMEPFIT),Q32 YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,1/10/2006,31/03/2013,HEALTH HOUSE GRANGE PARK LANE WILLERBY HULL NORTH HUMBERSIDE HU10 6DT
5P3,Primary Care Trust - EAST AND NORTH HERTFORDSHIRE PCT (5P3),Y51 THE NORTH MIDLANDS AND EAST PROGRAMME FOR IT (NMEPFIT),Q35 EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,1/10/2006,31/03/2010,CHARTER HOUSE PARKWAY WELWYN GARDEN CITY HERTFORDSHIRE AL8 6JL
5P4,Primary Care Trust - WEST HERTFORDSHIRE PCT (5P4),Y51 THE NORTH MIDLANDS AND EAST PROGRAMME FOR IT (NMEPFIT),Q35 EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,1/10/2006,31/03/2010,CHARTER HOUSE PARKWAY WELWYN GARDEN CITY HERTFORDSHIRE AL8 6JL
5P5,Primary Care Trust - SURREY PCT (5P5),Y52 THE SOUTHERN PROGRAMME FOR IT (SPFIT),Q37 SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,1/10/2006,31/03/2013,"CEDAR COURT GUILDFORD ROAD, FETCHAM LEATHERHEAD SURREY KT22 9AE"
5P6,Primary Care Trust - WEST SUSSEX PCT (5P6),Y52 THE SOUTHERN PROGRAMME FOR IT (SPFIT),Q37 SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,1/10/2006,31/03/2013,THE CAUSEWAY GORING-BY-SEA WORTHING WEST SUSSEX BN12 6BT
5P7,Primary Care Trust - EAST SUSSEX DOWNS AND WEALD PCT (5P7),Y52 THE SOUTHERN PROGRAMME FOR IT (SPFIT),Q37 SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,1/10/2006,31/03/2013,36-38 FRIARS WALK LEWES EAST SUSSEX BN7 2PB
5P8,Primary Care Trust - HASTINGS AND ROTHER PCT (5P8),Y52 THE SOUTHERN PROGRAMME FOR IT (SPFIT),Q37 SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,1/10/2006,31/03/2013,BEXHILL HOSPITAL HOLLIERS HILL BEXHILL-ON-SEA EAST SUSSEX TN40 2DZ
5PA,Primary Care Trust - LEICESTERSHIRE COUNTY AND RUTLAND PCT (5PA),Y51 THE NORTH MIDLANDS AND EAST PROGRAMME FOR IT (NMEPFIT),Q33 EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,1/10/2006,31/03/2013,"LAKESIDE HOUSE 4 SMITH WAY GROVE PARK, ENDERBY LEICESTER LEICESTERSHIRE LE19 1SS"
5PC,Primary Care Trust - LEICESTER CITY PCT (5PC),Y51 THE NORTH MIDLANDS AND EAST PROGRAMME FOR IT (NMEPFIT),Q33 EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,1/10/2006,31/03/2013,ST. JOHNS HOUSE 30 EAST STREET LEICESTER LEICESTERSHIRE LE1 6NB
5PD,Primary Care Trust - NORTHAMPTONSHIRE TEACHING PCT (5PD),Y51 THE NORTH MIDLANDS AND EAST PROGRAMME FOR IT (NMEPFIT),Q33 EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,1/10/2006,31/03/2013,FRANCIS CRICK HOUSE 6 SUMMERHOUSE ROAD MOULTON PARK INDUSTRIAL ESTATE NORTHAMPTON NORTHAMPTONSHIRE NN3 6BF
5PE,Primary Care Trust - DUDLEY PCT (5PE),Y51 THE NORTH MIDLANDS AND EAST PROGRAMME FOR IT (NMEPFIT),Q34 WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,1/10/2006,31/03/2013,ST. JOHNS HOUSE UNION STREET DUDLEY WEST MIDLANDS DY2 8PP
5PG,Primary Care Trust - BIRMINGHAM EAST AND NORTH PCT (5PG),Y51 THE NORTH MIDLANDS AND EAST PROGRAMME FOR IT (NMEPFIT),Q34 WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,1/10/2006,31/03/2013,"SUITE 20, WATERLINKS HOUSE RICHARD STREET ASTON BIRMINGHAM WEST MIDLANDS B7 4AA"
5PH,Primary Care Trust - NORTH STAFFORDSHIRE PCT (5PH),Y51 THE NORTH MIDLANDS AND EAST PROGRAMME FOR IT (NMEPFIT),Q34 WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,1/10/2006,31/03/2013,MOORLANDS HOUSE STOCKWELL STREET LEEK STAFFORDSHIRE ST13 6HQ
5PJ,Primary Care Trust - STOKE ON TRENT PCT (5PJ),Y51 THE NORTH MIDLANDS AND EAST PROGRAMME FOR IT (NMEPFIT),Q34 WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,1/10/2006,31/03/2013,HERBERT MINTON BUILDING 79 LONDON ROAD STOKE-ON-TRENT STAFFORDSHIRE ST4 7PZ
5PK,Primary Care Trust - SOUTH STAFFORDSHIRE PCT (5PK),Y51 THE NORTH MIDLANDS AND EAST PROGRAMME FOR IT (NMEPFIT),Q34 WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,1/10/2006,31/03/2013,ANGLESEY HOUSE TOWERS PLAZA WHEELHOUSE ROAD RUGELEY STAFFORDSHIRE WS15 1UL
5PL,Primary Care Trust - WORCESTERSHIRE PCT (5PL),Y51 THE NORTH MIDLANDS AND EAST PROGRAMME FOR IT (NMEPFIT),Q34 WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,1/10/2006,31/03/2013,GROUND FLOOR WEST WING WILD WOOD DRIVE WORCESTER WORCESTERSHIRE WR5 2LG
5PM,Primary Care Trust - WARWICKSHIRE PCT (5PM),Y51 THE NORTH MIDLANDS AND EAST PROGRAMME FOR IT (NMEPFIT),Q34 WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,1/10/2006,31/03/2013,WESTGATE HOUSE 21 MARKET STREET WARWICK WARWICKSHIRE CV34 4DE
5PP,Primary Care Trust - CAMBRIDGESHIRE PCT (5PP),Y51 THE NORTH MIDLANDS AND EAST PROGRAMME FOR IT (NMEPFIT),Q35 EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,1/10/2006,31/03/2013,LOCKTON HOUSE CLARENDON ROAD CAMBRIDGE CAMBRIDGESHIRE CB2 8FH
5PQ,Primary Care Trust - NORFOLK PCT (5PQ),Y51 THE NORTH MIDLANDS AND EAST PROGRAMME FOR IT (NMEPFIT),Q35 EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,1/10/2006,31/03/2013,LAKESIDE 400 OLD CHAPEL WAY BROADLAND BUSINESS PARK NORWICH NORFOLK NR7 0WG
5PR,Primary Care Trust - GREAT YARMOUTH AND WAVENEY PCT (5PR),Y51 THE NORTH MIDLANDS AND EAST PROGRAMME FOR IT (NMEPFIT),Q35 EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,1/10/2006,31/03/2013,1 COMMON LANE NORTH BECCLES SUFFOLK NR34 9BN
5PT,Primary Care Trust - SUFFOLK PCT (5PT),Y51 THE NORTH MIDLANDS AND EAST PROGRAMME FOR IT (NMEPFIT),Q35 EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,1/10/2006,31/03/2013,PAPER MILL LANE BRAMFORD IPSWICH SUFFOLK IP8 4DE
5PV,Primary Care Trust - WEST ESSEX PCT (5PV),Y51 THE NORTH MIDLANDS AND EAST PROGRAMME FOR IT (NMEPFIT),Q35 EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,1/10/2006,31/03/2013,THE PLAIN EPPING ESSEX CM16 6TN
5PX,Primary Care Trust - MID ESSEX PCT (5PX),Y51 THE NORTH MIDLANDS AND EAST PROGRAMME FOR IT (NMEPFIT),Q35 EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,1/10/2006,31/03/2013,"SWIFT HOUSE HEDGEROWS BUSINESS PARK COLCHESTER ROAD, SPRINGFIELD CHELMSFORD ESSEX CM2 5PF"
5PY,Primary Care Trust - SOUTH WEST ESSEX PCT (5PY),Y51 THE NORTH MIDLANDS AND EAST PROGRAMME FOR IT (NMEPFIT),Q35 EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,1/10/2006,31/03/2013,PHOENIX COURT CHRISTOPHER MARTIN ROAD BASILDON ESSEX SS14 3HG
5QA,Primary Care Trust - EASTERN AND COASTAL KENT PCT (5QA),Y52 THE SOUTHERN PROGRAMME FOR IT (SPFIT),Q37 SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,1/10/2006,31/03/2013,BROOK HOUSE BLOCK C JOHN WILSON BUSINESS PARK WHITSTABLE KENT CT5 3QT
5QC,Primary Care Trust - HAMPSHIRE PCT (5QC),Y52 THE SOUTHERN PROGRAMME FOR IT (SPFIT),Q38 SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,1/10/2006,31/03/2013,OMEGA HOUSE 112 SOUTHAMPTON ROAD EASTLEIGH HAMPSHIRE SO50 5PB
5QD,Primary Care Trust - BUCKINGHAMSHIRE PCT (5QD),Y52 THE SOUTHERN PROGRAMME FOR IT (SPFIT),Q38 SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,1/10/2006,31/03/2013,3RD FLOOR RAPID HOUSE 40 OXFORD ROAD HIGH WYCOMBE BUCKINGHAMSHIRE HP11 2EE
5QE,Primary Care Trust - OXFORDSHIRE PCT (5QE),Y52 THE SOUTHERN PROGRAMME FOR IT (SPFIT),Q38 SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,1/10/2006,31/03/2013,JUBILEE HOUSE 5510 JOHN SMITH DRIVE OXFORD BUSINESS PARK SOUTH OXFORD OXFORDSHIRE OX4 2LH
5QF,Primary Care Trust - BERKSHIRE WEST PCT (5QF),Y52 THE SOUTHERN PROGRAMME FOR IT (SPFIT),Q38 SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,1/10/2006,31/03/2013,57-59 BATH ROAD READING BERKSHIRE RG30 2BA
5QG,Primary Care Trust - BERKSHIRE EAST PCT (5QG),Y52 THE SOUTHERN PROGRAMME FOR IT (SPFIT),Q38 SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,1/10/2006,31/03/2013,KING EDWARD VII HOSPITAL ST. LEONARDS ROAD WINDSOR BERKSHIRE SL4 3DP
5QH,Primary Care Trust - GLOUCESTERSHIRE PCT (5QH),Y52 THE SOUTHERN PROGRAMME FOR IT (SPFIT),Q39 SOUTH WEST STRATEGIC HEALTH AUTHORITY,1/10/2006,31/03/2013,"SANGER HOUSE, 5220 VALIANT COURT GLOUCESTER BUSINESS PARK BROCKWORTH GLOUCESTER GLOUCESTERSHIRE GL3 4FE"
5QK,Primary Care Trust - WILTSHIRE PCT (5QK),Y52 THE SOUTHERN PROGRAMME FOR IT (SPFIT),Q39 SOUTH WEST STRATEGIC HEALTH AUTHORITY,1/10/2006,31/03/2013,SOUTHGATE HOUSE PANS LANE DEVIZES WILTSHIRE SN10 5EQ
